Position,Name,Salary,GameInfo,AvgPointsPerGame,TeamAbbrev 
WR,Kenny Britt,3300,MIN@CLE 10/29/2017 09:30AM ET,,CLE
WR,Laquon Treadwell,3300,MIN@CLE 10/29/2017 09:30AM ET,,MIN
WR,Seth Roberts,3300,OAK@BUF 10/29/2017 01:00PM ET,,OAK
RB,Jeremy Hill,3300,IND@CIN 10/29/2017 01:00PM ET,,CIN
WR,Curtis Samuel,3300,CAR@TB 10/29/2017 01:00PM ET,,CAR
WR,Bruce Ellington,3300,HOU@SEA 10/29/2017 04:05PM ET,,HOU
RB,J.D. McKissic,3300,HOU@SEA 10/29/2017 04:05PM ET,,SEA
WR,Brandon Tate,3200,OAK@BUF 10/29/2017 01:00PM ET,,BUF
WR,Andre Holmes,3200,OAK@BUF 10/29/2017 01:00PM ET,,BUF
WR,John Ross,3200,IND@CIN 10/29/2017 01:00PM ET,,CIN
TE,Zach Miller,3200,CHI@NO 10/29/2017 01:00PM ET,,CHI
WR,Markus Wheaton,3200,CHI@NO 10/29/2017 01:00PM ET,,CHI
WR,Nick Williams,3200,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
WR,Trent Taylor,3200,SF@PHI 10/29/2017 01:00PM ET,,SF
DST,Seahawks ,3200,HOU@SEA 10/29/2017 04:05PM ET,,SEA
RB,Rod Smith,3200,DAL@WAS 10/29/2017 04:25PM ET,,DAL
WR,Jarius Wright,3100,MIN@CLE 10/29/2017 09:30AM ET,,MIN
TE,Nick O'Leary,3100,OAK@BUF 10/29/2017 01:00PM ET,,BUF
WR,Tyler Boyd,3100,IND@CIN 10/29/2017 01:00PM ET,,CIN
WR,Tanner Gentry,3100,CHI@NO 10/29/2017 01:00PM ET,,CHI
DST,Falcons ,3100,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
TE,Ryan Griffin,3100,HOU@SEA 10/29/2017 04:05PM ET,,HOU
WR,Michael Floyd,3000,MIN@CLE 10/29/2017 09:30AM ET,,MIN
WR,James Wright,3000,MIN@CLE 10/29/2017 09:30AM ET,,CLE
WR,Sammie Coates,3000,MIN@CLE 10/29/2017 09:30AM ET,,CLE
WR,Kasen Williams,3000,MIN@CLE 10/29/2017 09:30AM ET,,CLE
