Position,Name,Salary,GameInfo,AvgPointsPerGame,TeamAbbrev 
TE,Brandon Williams,2500,IND@CIN 10/29/2017 01:00PM ET,,IND
TE,Erik Swoope,2500,IND@CIN 10/29/2017 01:00PM ET,,IND
TE,C.J. Uzomah,2500,IND@CIN 10/29/2017 01:00PM ET,,CIN
TE,Henry Krieger-Coble,2500,IND@CIN 10/29/2017 01:00PM ET,,IND
TE,Cethan Carter,2500,IND@CIN 10/29/2017 01:00PM ET,,CIN
TE,Darrell Daniels,2500,IND@CIN 10/29/2017 01:00PM ET,,IND
DST,Chargers ,2500,LAC@NE 10/29/2017 01:00PM ET,,LAC
TE,Sean McGrath,2500,LAC@NE 10/29/2017 01:00PM ET,,LAC
TE,Sean Culkin,2500,LAC@NE 10/29/2017 01:00PM ET,,LAC
TE,Jacob Hollister,2500,LAC@NE 10/29/2017 01:00PM ET,,NE
DST,Bears ,2500,CHI@NO 10/29/2017 01:00PM ET,,CHI
TE,Andrew DePaola,2500,CHI@NO 10/29/2017 01:00PM ET,,CHI
TE,Michael Hoomanawanui,2500,CHI@NO 10/29/2017 01:00PM ET,,NO
TE,Josh Hill,2500,CHI@NO 10/29/2017 01:00PM ET,,NO
TE,Dion Sims,2500,CHI@NO 10/29/2017 01:00PM ET,,CHI
TE,Daniel Brown,2500,CHI@NO 10/29/2017 01:00PM ET,,CHI
TE,Adam Shaheen,2500,CHI@NO 10/29/2017 01:00PM ET,,CHI
TE,Levine Toilolo,2500,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
TE,Eric Tomlinson,2500,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
TE,Eric Saubert,2500,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
TE,Jordan Leggett,2500,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
TE,Brent Celek,2500,SF@PHI 10/29/2017 01:00PM ET,,PHI
TE,Logan Paulsen,2500,SF@PHI 10/29/2017 01:00PM ET,,SF
TE,Kyle Nelson,2500,SF@PHI 10/29/2017 01:00PM ET,,SF
TE,Garrett Celek,2500,SF@PHI 10/29/2017 01:00PM ET,,SF
TE,Trey Burton,2500,SF@PHI 10/29/2017 01:00PM ET,,PHI
TE,Cole Hikutini,2500,SF@PHI 10/29/2017 01:00PM ET,,SF
TE,Luke Stocker,2500,CAR@TB 10/29/2017 01:00PM ET,,TB
TE,Chris Manhertz,2500,CAR@TB 10/29/2017 01:00PM ET,,CAR
TE,Antony Auclair,2500,CAR@TB 10/29/2017 01:00PM ET,,TB
TE,Tyler Ott,2500,HOU@SEA 10/29/2017 04:05PM ET,,SEA
TE,Nick Vannett,2500,HOU@SEA 10/29/2017 04:05PM ET,,SEA
TE,Niles Paul,2500,DAL@WAS 10/29/2017 04:25PM ET,,WAS
TE,James Hanna,2500,DAL@WAS 10/29/2017 04:25PM ET,,DAL
TE,Jeremy Sprinkle,2500,DAL@WAS 10/29/2017 04:25PM ET,,WAS
TE,Rico Gathers,2500,DAL@WAS 10/29/2017 04:25PM ET,,DAL
TE,Geoff Swaim,2500,DAL@WAS 10/29/2017 04:25PM ET,,DAL
TE,Darren Fells,2500,PIT@DET 10/29/2017 08:30PM ET,,DET
TE,Xavier Grimble,2500,PIT@DET 10/29/2017 08:30PM ET,,PIT
TE,Michael Roberts,2500,PIT@DET 10/29/2017 08:30PM ET,,DET
DST,Patriots ,2400,LAC@NE 10/29/2017 01:00PM ET,,NE
DST,Redskins ,2400,DAL@WAS 10/29/2017 04:25PM ET,,WAS
DST,Browns ,2300,MIN@CLE 10/29/2017 09:30AM ET,,CLE
DST,Colts ,2300,IND@CIN 10/29/2017 01:00PM ET,,IND
DST,Cowboys ,2300,DAL@WAS 10/29/2017 04:25PM ET,,DAL
DST,Jets ,2200,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
DST,49ers ,2100,SF@PHI 10/29/2017 01:00PM ET,,SF
